"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDISTOCK","INWARD","PC_GDP","A","2005",32.58021459138,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2006",36.954194347878,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2007",39.841399208411,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2008",29.166360467287,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2009",43.373213049187,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2010",40.631541649119,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2011",35.942351941885,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2012",38.730467888636,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2013",36.925241219743,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2014",38.519426111823,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2015",43.130957654359,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2016",44.216467971937,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2017",46.574431299741,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2005",26.512527152599,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2006",33.736347933906,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2007",42.345683392387,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2008",35.011560482643,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2009",43.605440496066,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2010",42.480459408389,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2011",36.848815702413,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2012",41.936004408336,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2013",43.386281089507,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2014",41.364796061796,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2015",43.407537838072,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2016",40.413542250727,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2017",47.994933911872,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2012",97.658502378294,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2013",92.709187893323,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2014",93.546814699006,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2015",114.4938069417,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2016",106.8488943252,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2017",114.53930650568,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2005",54.613790740167,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2006",53.733432079303,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2007",70.510689404587,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2008",40.036269611973,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2009",63.265740849795,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2010",60.979966355018,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2011",48.231897249576,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2012",52.267097923575,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2013",53.322193549663,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2014",55.284134165933,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2015",51.698229704765,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2016",62.892417449178,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2017",64.907601241783,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2005",44.512773116744,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2006",51.354648714308,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2007",59.397069860628,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2008",48.011801869489,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2009",61.028593786255,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2010",61.936952208336,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2011",52.893255985458,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2012",65.819383362359,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2013",64.032004378106,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2014",58.470223494408,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2015",62.424601122069,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2016",62.460625420177,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2017",71.869067181026,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2005",28.22694956286,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2006",32.550038796092,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2007",34.840418991241,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2008",29.416754794174,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2009",32.134406640482,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2010",30.119669049869,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2011",28.611112101951,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2012",30.053446846942,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2013",21.81221671208,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2014",27.129809102385,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2015",30.750989268021,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2016",31.856100616335,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2017",36.387594921722,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2005",26.806146813669,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2006",32.589123872385,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2007",35.909733038715,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2008",29.440858078561,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2009",33.866694434454,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2010",34.646984246838,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2011",32.603106392151,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2012",37.644502147399,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2013",32.877582181479,"B"
"FIN","FDISTOCK","INWARD","PC_GDP","A","2014",34.443372204313,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2015",35.113516133073,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2016",33.701040074135,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2017",34.930048008279,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2005",16.913668493559,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2006",21.296911460536,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2007",23.47044827951,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2008",19.292154589721,
