Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,23300.03956,24045.74942,25835.64314,27086.03985,24630.93927,23512.6026,24984.27945,24709.60226,25018.30895,25528.40378,25796.38025,25251.63968,25655.10202,
Afghanistan,AFG,247.66414,269.229693,366.2304432,370.382294,444.1844041,550.514974,599.2976298,648.5110696,647.9664605,625.3395388,590.0764738,549.5827599,550.0684588,
Angola,AGO,1890.849727,2585.133522,3108.268643,4068.978456,3117.896944,3585.905553,4615.867475,5102.489969,5258.407376,5412.692348,4170.730358,3509.604211,4100.289786,
Albania,ALB,2673.786584,2972.742924,3595.038057,4370.539925,4114.134899,4094.360204,4437.177794,4247.614342,4413.082887,4578.667934,3952.830781,4131.872341,4537.579056,
Andorra,AND,41282.02012,43748.77216,48582.80846,47785.65909,43339.37987,39736.35406,41098.76694,38391.08087,40619.7113,42294.99473,36038.2676,37231.81567,39146.54884,
Arab World,ARB,3747.312977,4338.385738,4939.53,6116.581229,5159.342763,5918.315891,6856.035033,7465.13523,7510.729986,7456.598173,6429.128604,6185.063514,6239.713933,
United Arab Emirates,ARE,39439.80197,42372.22166,42672.61323,45758.90554,33072.57517,35037.89267,40434.36635,42086.68995,43315.14149,44443.06151,39122.04971,38517.80039,40698.84934,
Argentina,ARG,5076.883829,5878.761027,7193.61764,8953.359275,8161.306966,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645,13698.29344,12654.355,14398.35877,
Armenia,ARM,1643.758543,2158.002909,3138.808703,4010.026997,2993.832531,3218.381655,3526.978143,3684.80481,3843.591213,3994.712355,3617.935746,3605.743117,3936.79832,
American Samoa,ASM,8508.406915,8456.947997,8980.536414,9871.997194,12058.26382,10352.82276,10375.99422,11660.32953,11589.853,11598.75174,11901.97526,11744.81555,11394.4753,
Antigua and Barbuda,ATG,11452.73878,12812.76444,14350.91889,14797.36849,13082.28181,12174.6978,11931.204,12517.55794,12194.54959,12900.903,13602.42124,14506.60354,14803.01093,
Australia,AUS,33961.6818,36019.20305,40905.47089,49535.25787,42709.8033,51936.88871,62411.78545,67864.68986,67990.29003,62327.55594,56561.41238,49896.6811,53799.93809,
Austria,AUT,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51704.54119,44206.78428,44731.01086,47290.91165,
Azerbaijan,AZE,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4131.61831,
Burundi,BDI,150.4876135,165.9047485,170.8151515,196.2718079,209.8537621,231.7955369,247.2293791,250.3627366,255.372691,273.538285,304.3742207,281.1813376,292.0052103,
Belgium,BEL,36967.25918,38852.37293,44403.7669,48424.5756,44880.57302,44380.17663,47702.81189,44740.58325,46582.66955,47351.97418,40361.15419,41260.97755,43323.80734,
Benin,BEN,601.799977,625.830092,706.0535419,820.1513498,793.45243,757.6959074,825.9427854,837.9505001,915.3281554,943.686575,783.9630778,788.5324424,827.3936794,
Burkina Faso,BFA,406.9988071,420.5825233,475.1100122,569.7612784,552.7455521,575.4464527,666.8404101,673.8228182,699.781537,703.8216565,575.3144542,583.8308982,642.0371483,
Bangladesh,BGD,484.1554071,494.0501466,541.0651484,615.7775411,681.1205368,757.6717572,835.7893401,856.342857,951.8894535,1084.56543,1210.158849,1358.779186,1516.51327,
Bulgaria,BGR,3869.529455,4490.201777,5885.949252,7261.754492,6969.558557,6843.26695,7813.806692,7378.02473,7646.839866,7864.760672,6993.783483,7469.455638,8227.960406,
Bahrain,BHR,17959.17854,19307.99549,20977.11053,23067.56535,19356.67236,20722.10389,22512.1596,23649.36661,24737.17178,24983.37902,22688.87824,22560.58127,23655.0356,
"Bahamas, The",BHS,29874.65414,30274.99032,31018.02949,30188.48444,28129.6075,27979.11493,27472.25617,28815.5274,28171.986,28671.34697,30483.8201,30260.30591,30762.01244,
