Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,,,,,,,,,,,,
Afghanistan,AFG,9.4,10.2,14.5,12.5,23.3,33.9,42.7,35,27.3,33.3,23.5,80.4
Angola,AGO,9.9,13.3,9.9,9.9,14,15.2,17.8,22.4,24.1,35.7,32.9,39.1
Albania,ALB,26.2,32.6,40.3,51.9,76.8,140.8,165.2,214.1,359.5,360.7,269,191.4
Andorra,AND,4.8,5,6.2,1.7,2.6,1.2,1,3.6,5.9,5.4,7.4,7.9
Arab World,ARB,12852.87354,14651.51962,16204.69818,18403.39161,21934.55407,24677.39689,28301.16011,32155.51542,36035.75041,38762.21624,41224.22398,44733.95482
United Arab Emirates,ARE,698.1,810.4,756.1,917.8,1024.7,1229.3,1427.8,1645.5,1775.6,1819,2261.6,2180.9
Argentina,ARG,5009.2,5599.8,5755,6356.5,7017.4,7472.5,7961.9,8205.1,8268.5,8955.3,8719.7,8648.2
Armenia,ARM,390,360.3,400.5,394.5,446.5,494.3,618.6,550.5,552,559.1,531.4,521
American Samoa,ASM,,,,,,,,,,,,
Antigua and Barbuda,ATG,1.8,1.6,4.3,6.3,3.8,2.2,0.8,2.5,1.9,2.5,3.9,7.8
Australia,AUS,31031.7,33100.4,35798.6,36822.3,38996.2,41564.9,44378.3,46386.8,49921.9,52643.6,52147.9,51068.2
Austria,AUT,8903.4,9155.2,9882.7,10334.3,10941.2,11214.8,11824.8,12358.5,12557.6,12900.5,12936.7,12366.4
Azerbaijan,AZE,351,288.4,417.9,475,616.2,605.3,645.9,684,481.1,399.6,420.9,480.3
Burundi,BDI,2.8,4.6,5.5,2.5,3.8,12.5,8.5,10.7,16.3,14.9,12.2,10.7
Belgium,BEL,12871.1,13035.8,13798.4,14481.3,15055.4,15409.4,16087.9,16971.3,17225.6,17499.2,16851.8,16393.7
Benin,BEN,55.6,75,87.1,92.4,122,108.9,132.8,146.1,181.3,181.6,189.2,167.3
Burkina Faso,BFA,69.6,101,112.9,120.4,136.8,130.9,153.3,209.3,183.5,201.9,219.8,221.8
Bangladesh,BGD,610.8,719.4,1005.8,1119.3,1248.3,1497.8,1521.5,2052.9,2019.4,2361.5,2194.9,2546.1
Bulgaria,BGR,2020.2,1928.2,2483.3,2356.5,2552,2599.1,2554,2733,2753.4,2744.4,2605.3,2558.7
Bahrain,BHR,159,185.2,172.2,165.6,186.6,205,185.2,160.3,236.1,223.6,172.6,210.6
"Bahamas, The",BHS,7.4,5.9,11.1,6,9.7,8.8,10.9,7.9,16.9,12.3,12.3,14.4
Bosnia and Herzegovina,BIH,250.6,223.2,243.1,372.6,406.9,494.5,542.6,572.9,494.5,477.8,524.6,508.5
Belarus,BLR,1291.6,1159.5,1293.3,1037.8,1171.7,1056.6,1099.4,1015.2,1040.6,1053,970.4,936.7
Belize,BLZ,5.8,4.9,2.4,3.6,9.3,11,3.4,9,9.6,5.2,7,5.5
Bermuda,BMU,,,,,,,,,,,,
Bolivia,BOL,58.4,68.8,82,95.2,85.1,78.1,86.8,86.8,92.1,94.5,85.3,95.1
Brazil,BRA,21869.7,28159.8,31066.2,35532.3,38547.2,41754.9,44585.8,49184.2,51136.2,53667.3,53492.3,53606.6
Barbados,BRB,37.1,44.3,46.5,45.9,34.2,27.7,35.4,47.6,43.5,40.7,49.6,48.4
Brunei Darussalam,BRN,30.3,33.9,42.6,42.4,46.3,47.7,79.4,107.3,126.1,185.9,177.5,216.9
