LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,EDUADULT,TRY,PC_25_64,A,2005,45.976749,
CAN,EDUADULT,TRY,PC_25_64,A,2006,46.881516,
CAN,EDUADULT,TRY,PC_25_64,A,2007,48.181564,
CAN,EDUADULT,TRY,PC_25_64,A,2008,48.706802,
CAN,EDUADULT,TRY,PC_25_64,A,2009,49.290722,
CAN,EDUADULT,TRY,PC_25_64,A,2010,50.311695,
CAN,EDUADULT,TRY,PC_25_64,A,2011,51.033012,
CAN,EDUADULT,TRY,PC_25_64,A,2012,52.305416,
CAN,EDUADULT,TRY,PC_25_64,A,2013,52.971439,
CAN,EDUADULT,TRY,PC_25_64,A,2014,53.61496,
CAN,EDUADULT,TRY,PC_25_64,A,2015,55.17366,
CAN,EDUADULT,TRY,PC_25_64,A,2016,56.265068,
CAN,EDUADULT,TRY,PC_25_64,A,2017,56.71452,
FRA,EDUADULT,TRY,PC_25_64,A,2005,25.425774,
FRA,EDUADULT,TRY,PC_25_64,A,2006,26.183411,
FRA,EDUADULT,TRY,PC_25_64,A,2007,26.646099,
FRA,EDUADULT,TRY,PC_25_64,A,2008,27.233906,
FRA,EDUADULT,TRY,PC_25_64,A,2009,28.588057,
FRA,EDUADULT,TRY,PC_25_64,A,2010,29.006897,
FRA,EDUADULT,TRY,PC_25_64,A,2011,29.767,
FRA,EDUADULT,TRY,PC_25_64,A,2012,30.856123,
FRA,EDUADULT,TRY,PC_25_64,A,2013,32.105263,
FRA,EDUADULT,TRY,PC_25_64,A,2014,33.539047,
FRA,EDUADULT,TRY,PC_25_64,A,2015,34.085361,
FRA,EDUADULT,TRY,PC_25_64,A,2016,34.582485,
FRA,EDUADULT,TRY,PC_25_64,A,2017,35.213791,
DEU,EDUADULT,TRY,PC_25_64,A,2005,24.552816,
DEU,EDUADULT,TRY,PC_25_64,A,2006,23.947578,
DEU,EDUADULT,TRY,PC_25_64,A,2007,24.299988,
DEU,EDUADULT,TRY,PC_25_64,A,2008,25.400061,
DEU,EDUADULT,TRY,PC_25_64,A,2009,26.385326,
DEU,EDUADULT,TRY,PC_25_64,A,2010,26.609148,
DEU,EDUADULT,TRY,PC_25_64,A,2011,27.562323,
DEU,EDUADULT,TRY,PC_25_64,A,2012,28.121572,
DEU,EDUADULT,TRY,PC_25_64,A,2013,28.47327,
DEU,EDUADULT,TRY,PC_25_64,A,2014,27.057884,
DEU,EDUADULT,TRY,PC_25_64,A,2015,27.638235,
DEU,EDUADULT,TRY,PC_25_64,A,2016,28.291723,
DEU,EDUADULT,TRY,PC_25_64,A,2017,28.58337,
ITA,EDUADULT,TRY,PC_25_64,A,2005,12.224514,
ITA,EDUADULT,TRY,PC_25_64,A,2006,12.872448,
ITA,EDUADULT,TRY,PC_25_64,A,2007,13.578119,
ITA,EDUADULT,TRY,PC_25_64,A,2008,14.357011,
ITA,EDUADULT,TRY,PC_25_64,A,2009,14.510798,
ITA,EDUADULT,TRY,PC_25_64,A,2010,14.802574,
ITA,EDUADULT,TRY,PC_25_64,A,2011,14.935372,
ITA,EDUADULT,TRY,PC_25_64,A,2012,15.708264,
ITA,EDUADULT,TRY,PC_25_64,A,2013,16.289694,
ITA,EDUADULT,TRY,PC_25_64,A,2014,16.910578,
ITA,EDUADULT,TRY,PC_25_64,A,2015,17.546457,
ITA,EDUADULT,TRY,PC_25_64,A,2016,17.723593,
ITA,EDUADULT,TRY,PC_25_64,A,2017,18.669672,
JPN,EDUADULT,TRY,PC_25_64,A,2005,39.939026,
JPN,EDUADULT,TRY,PC_25_64,A,2006,40.464294,
JPN,EDUADULT,TRY,PC_25_64,A,2007,41.024883,
JPN,EDUADULT,TRY,PC_25_64,A,2008,42.842262,
JPN,EDUADULT,TRY,PC_25_64,A,2009,43.764038,
JPN,EDUADULT,TRY,PC_25_64,A,2010,44.809975,
JPN,EDUADULT,TRY,PC_25_64,A,2011,46.364063,
JPN,EDUADULT,TRY,PC_25_64,A,2012,46.619377,
JPN,EDUADULT,TRY,PC_25_64,A,2013,47.311993,
JPN,EDUADULT,TRY,PC_25_64,A,2014,48.185074,
JPN,EDUADULT,TRY,PC_25_64,A,2015,49.541573,
JPN,EDUADULT,TRY,PC_25_64,A,2016,50.496956,
JPN,EDUADULT,TRY,PC_25_64,A,2017,51.440529,
GBR,EDUADULT,TRY,PC_25_64,A,2005,29.709032,
GBR,EDUADULT,TRY,PC_25_64,A,2006,34.191841,
GBR,EDUADULT,TRY,PC_25_64,A,2007,35.536041,
GBR,EDUADULT,TRY,PC_25_64,A,2008,35.216167,
GBR,EDUADULT,TRY,PC_25_64,A,2009,36.984959,
GBR,EDUADULT,TRY,PC_25_64,A,2010,38.187191,
GBR,EDUADULT,TRY,PC_25_64,A,2011,39.412373,
GBR,EDUADULT,TRY,PC_25_64,A,2012,40.977753,
GBR,EDUADULT,TRY,PC_25_64,A,2013,41.891979,
GBR,EDUADULT,TRY,PC_25_64,A,2014,42.217449,
GBR,EDUADULT,TRY,PC_25_64,A,2015,44.197987,
GBR,EDUADULT,TRY,PC_25_64,A,2016,45.766762,
GBR,EDUADULT,TRY,PC_25_64,A,2017,45.744305,
USA,EDUADULT,TRY,PC_25_64,A,2005,39.054729,
USA,EDUADULT,TRY,PC_25_64,A,2006,39.486282,
USA,EDUADULT,TRY,PC_25_64,A,2007,40.270866,
USA,EDUADULT,TRY,PC_25_64,A,2008,41.10516,
USA,EDUADULT,TRY,PC_25_64,A,2009,41.214626,
USA,EDUADULT,TRY,PC_25_64,A,2010,41.662415,
USA,EDUADULT,TRY,PC_25_64,A,2011,42.44838,
USA,EDUADULT,TRY,PC_25_64,A,2012,43.052437,
USA,EDUADULT,TRY,PC_25_64,A,2013,43.910252,
USA,EDUADULT,TRY,PC_25_64,A,2014,44.224617,
USA,EDUADULT,TRY,PC_25_64,A,2015,44.629398,
USA,EDUADULT,TRY,PC_25_64,A,2016,45.666355,
USA,EDUADULT,TRY,PC_25_64,A,2017,46.3568,
OAVG,EDUADULT,TRY,PC_25_64,A,2005,26.480038,
OAVG,EDUADULT,TRY,PC_25_64,A,2006,26.692076,
OAVG,EDUADULT,TRY,PC_25_64,A,2007,27.811454,
OAVG,EDUADULT,TRY,PC_25_64,A,2008,28.773557,
OAVG,EDUADULT,TRY,PC_25_64,A,2009,29.515163,
OAVG,EDUADULT,TRY,PC_25_64,A,2010,30.560193,
OAVG,EDUADULT,TRY,PC_25_64,A,2011,31.058533,
OAVG,EDUADULT,TRY,PC_25_64,A,2012,32.483346,
